COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
2,e_e012167,2,1,2,1
4,e_e012167,2,1,1,1
1,e_e012167,1,1,5,1
2,e_e012497,3,2,8,3
1,e_e012497,2,1,3,1
1,e_e012710,8,1,3,1
1,e_e013031,1,2,4,1
2,e_e013031,2,1,1,1
4,e_e013032,2,1,1,1
1,e_e013032,1,1,5,1
3,e_e013032,2,2,1,1
2,e_e013032,2,2,2,1
1,e_e013035,1,1,6,1
2,e_e013041,2,1,1,1
1,e_e013041,1,1,4,1
3,e_e013041,2,2,1,1
2,e_e013050,2,1,2,1
1,e_e013050,1,2,5,1
3,e_e013050,2,1,1,1
1,e_e013053,1,2,4,1
3,e_e013053,2,1,1,1
2,e_e013053,2,2,2,1
1,e_e013069,7,2,5,1
1,e_e013070,1,2,6,1
2,e_e013077,7,2,4,1
1,e_e013077,7,1,4,1
1,e_e013101,1,2,4,3
3,e_e013101,2,2,1,3
2,e_e013101,2,2,1,1
1,e_e013106,1,2,5,1
1,e_e013125,2,2,3,1
1,e_e013127,7,2,5,1
2,e_e013134,2,1,1,1
1,e_e013134,1,2,5,1
3,e_e013134,2,2,1,1
1,f_f000270,7,2,3,1
1,f_f000339,7,1,4,1
1,f_f000391,1,2,5,1
1,f_f000396,2,1,3,1
1,f_f000402,8,1,3,1
2,f_f000438,2,1,1,1
1,f_f000438,1,1,4,1
3,f_f000438,2,2,1,1
1,f_f000439,1,1,5,1
3,f_f000439,2,1,1,1
2,f_f000439,2,2,2,1
2,f_f000450,2,1,1,1
1,f_f000450,2,2,1,1
2,f_f000471,2,1,1,1
1,f_f000471,1,1,5,1
2,f_f000480,2,1,1,1
1,f_f000480,1,1,6,1
5,f_f000491,7,2,3,1
7,f_f000491,7,1,3,1
2,f_f000491,7,2,3,1
4,f_f000491,7,1,3,1
6,f_f000491,7,2,3,1
1,f_f000491,7,1,3,1
3,f_f000491,7,1,3,1
2,f_f000501,3,1,7,1
4,f_f000501,5,2,4,1
1,f_f000501,1,1,4,1
3,f_f000501,3,2,7,1
5,f_f000501,7,2,5,1
1,f_f000512,1,2,3,1
1,f_f000527,2,1,1,1
1,f_f000563,3,2,6,3
3,f_f000563,5,1,3,3
2,f_f000563,3,1,6,3
1,f_f000588,7,2,3,2
1,f_f000590,8,1,4,1
1,f_f000674,3,1,7,1
3,f_f000674,5,2,4,1
2,f_f000674,3,2,7,1
2,f_f000681,3,2,7,1
4,f_f000681,2,1,1,1
1,f_f000681,1,1,4,1
3,f_f000681,2,2,1,1
1,f_f000786,8,1,3,1
1,f_f000794,8,1,4,3
2,f_f000804,2,2,1,1
1,f_f000804,1,1,4,1
3,f_f000804,5,1,3,1
1,f_f000814,7,2,3,1
1,f_f000861,8,2,3,1
1,f_f000895,1,1,6,1
1,f_f000919,7,1,4,3
1,f_f000929,1,1,5,1
2,f_f000929,2,1,1,1
1,f_f000955,7,1,4,1
1,f_f000957,1,1,5,1
3,f_f000957,2,1,1,1
2,f_f000957,2,2,1,1
1,f_f001063,2,2,6,1
1,f_f001132,1,1,5,1
3,f_f001132,2,1,2,1
2,f_f001132,2,1,2,1
1,f_f001151,8,1,4,1
1,f_f001164,1,1,4,1
2,f_f001164,2,1,1,1
2,f_f001197,3,2,6,1
1,f_f001197,3,1,6,1
2,f_f001223,2,1,1,1
1,f_f001223,1,1,5,3
3,f_f001223,2,2,1,1
1,f_f001234,1,2,5,1
3,f_f001234,2,2,1,1
2,f_f001234,2,1,1,1
1,f_f001250,1,2,4,1
2,f_f001254,2,2,1,1
4,f_f001254,4,1,7,3
1,f_f001254,1,1,4,1
3,f_f001254,2,2,1,1
5,f_f001254,4,2,7,3
1,f_f001278,1,2,4,1
3,f_f001278,2,1,1,1
2,f_f001278,2,2,1,1
1,f_f001309,1,1,5,1
3,f_f001309,2,2,1,1
2,f_f001309,2,1,1,1
7,f_f001311,10,2,5,3
9,f_f001311,10,2,2,3
11,f_f001311,10,1,2,3
13,f_f001311,10,2,1,3
2,f_f001311,2,1,2,1
4,f_f001311,10,1,5,3
6,f_f001311,10,2,5,3
8,f_f001311,10,2,2,3
10,f_f001311,10,1,1,3
12,f_f001311,10,1,1,3
1,f_f001311,1,1,5,1
3,f_f001311,2,1,2,1
5,f_f001311,10,1,5,3
2,f_f001353,2,1,2,1
1,f_f001353,1,1,5,1
3,f_f001353,2,2,1,1
1,f_f001354,7,2,4,3
3,f_f001354,7,2,4,3
5,f_f001354,7,2,4,3
