TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,CLUSTER,CLUSTER_NEW
e000959,1,0.5,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.0,17
e003753,1,0.25,0.1666666666666666,0.1666666666666666,0.5,0.5,0.8333333333333334,0.8333333333333334,0.0,9
e000752,1,0.5,0.5,0.0,1.0,1.0,1.0,0.0,2.0,17
e011100,1,0.75,0.1666666666666666,0.0,0.1666666666666666,0.0,0.8333333333333334,0.3333333333333333,0.0,21
e001987,1,0.0,0.5,0.1666666666666666,0.5,0.3333333333333333,0.8333333333333334,0.6666666666666666,2.0,5
e011538,0,0.0,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.6666666666666666,2.0,2
e010700,1,0.0,0.8333333333333334,0.3333333333333333,0.1666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,1.0,4
e004575,1,0.0,1.0,0.1666666666666666,0.0,0.0,0.3333333333333333,0.5,1.0,4
e005127,1,0.0,0.5,0.5,0.3333333333333333,0.5,0.1666666666666666,0.6666666666666666,0.0,3
e001013,1,0.5,0.3333333333333333,0.5,0.5,0.5,0.6666666666666666,0.5,2.0,17
e012554,0,0.0,0.5,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.8333333333333334,2.0,2
e008404,0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,1.0,2.0,2
e000830,0,0.25,0.3333333333333333,0.0,0.5,0.6666666666666666,0.0,0.5,0.0,6
e003348,0,0.25,0.0,0.0,0.6666666666666666,0.1666666666666666,0.5,0.1666666666666666,2.0,8
e003259,1,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.0,3
e001183,1,0.5,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,15
e000042,1,0.0,0.0,0.0,0.1666666666666666,0.0,0.8333333333333334,0.6666666666666666,1.0,4
e009858,0,0.5,0.0,0.0,1.0,1.0,0.8333333333333334,0.5,1.0,13
e003311,0,0.25,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.8333333333333334,2.0,8
e003618,1,0.25,0.0,0.5,0.3333333333333333,0.1666666666666666,0.3333333333333333,1.0,2.0,11
e004878,1,0.25,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1666666666666666,1.0,2.0,11
e006153,0,0.25,0.0,0.5,0.3333333333333333,0.5,0.8333333333333334,1.0,1.0,7
e006221,0,0.25,0.0,0.0,0.8333333333333334,0.1666666666666666,0.5,0.6666666666666666,2.0,8
e010636,0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,2.0,14
e003678,1,1.0,0.1666666666666666,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.8333333333333334,1.0,28
e001125,0,0.25,0.8333333333333334,0.1666666666666666,0.0,0.8333333333333334,0.1666666666666666,0.6666666666666666,0.0,6
e006069,1,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1.0,0.0,3
e004506,1,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,4
e006849,0,1.0,0.8333333333333334,0.5,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,1.0,25
e007137,0,0.5,0.5,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,2.0,14
e000375,1,0.5,0.0,0.3333333333333333,0.0,0.5,0.1666666666666666,0.6666666666666666,1.0,16
e000747,1,0.5,0.5,0.0,1.0,0.5,1.0,0.0,2.0,17
e007860,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28
e006922,0,0.5,0.6666666666666666,0.5,0.8333333333333334,0.0,0.6666666666666666,0.0,0.0,12
e009752,0,0.25,0.5,0.0,0.8333333333333334,0.8333333333333334,0.0,0.5,0.0,6
e012180,1,0.5,0.0,0.6666666666666666,0.1666666666666666,0.5,0.1666666666666666,0.5,1.0,16
e007883,0,0.0,0.5,0.0,0.5,0.0,0.3333333333333333,0.5,2.0,2
e000013,1,0.0,0.8333333333333334,0.0,0.8333333333333334,0.1666666666666666,0.0,0.1666666666666666,0.0,3
e004879,1,0.0,0.1666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,3
e002130,0,0.0,0.5,0.5,0.1666666666666666,0.5,0.1666666666666666,1.0,0.0,0
e003412,0,1.0,0.0,0.0,0.8333333333333334,0.0,0.8333333333333334,0.6666666666666666,2.0,26
e002255,1,0.5,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.6666666666666666,0.5,0.3333333333333333,2.0,17
e002184,0,0.25,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.6666666666666666,1.0,7
e002351,0,0.0,0.0,0.1666666666666666,0.0,0.1666666666666666,0.6666666666666666,0.8333333333333334,1.0,1
e008310,0,0.25,0.1666666666666666,0.0,0.5,0.1666666666666666,0.1666666666666666,0.8333333333333334,2.0,8
e002071,1,0.0,0.0,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0,2.0,5
e000491,0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,2.0,14
e004294,0,0.25,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,7
e006371,1,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.8333333333333334,0.8333333333333334,2.0,5
e010689,1,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,1.0,4
e005518,1,0.25,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,10
e005915,1,0.25,0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.0,9
e005442,1,0.75,0.0,1.0,0.0,0.0,1.0,0.1666666666666666,0.0,21
e008069,0,0.0,0.3333333333333333,0.1666666666666666,0.8333333333333334,0.1666666666666666,0.8333333333333334,0.3333333333333333,1.0,1
e005863,1,0.5,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,15
e005197,1,0.5,0.0,0.5,0.1666666666666666,0.8333333333333334,0.1666666666666666,0.1666666666666666,2.0,17
e008006,1,0.0,0.0,0.3333333333333333,1.0,0.5,1.0,1.0,2.0,5
e007591,1,0.25,0.0,0.0,0.6666666666666666,0.1666666666666666,0.5,0.8333333333333334,0.0,9
e002283,0,0.0,0.5,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0
e003103,1,0.25,1.0,0.0,0.8333333333333334,0.1666666666666666,0.0,1.0,2.0,11
e003378,1,1.0,0.1666666666666666,0.8333333333333334,0.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.0,27
e007385,1,0.25,0.0,0.1666666666666666,0.1666666666666666,0.5,0.3333333333333333,0.6666666666666666,2.0,11
e011029,0,0.25,0.0,0.5,0.1666666666666666,0.8333333333333334,0.0,1.0,0.0,6
e000460,1,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,1.0,16
e004222,1,0.25,0.3333333333333333,0.0,0.8333333333333334,0.0,1.0,0.8333333333333334,0.0,9
e000865,1,0.0,0.5,0.8333333333333334,0.0,0.5,0.8333333333333334,0.1666666666666666,1.0,4
f000041,0,0.5,1.0,0.5,0.0,0.5,0.1666666666666666,0.0,0.0,12
e001041,1,0.5,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,17
e010578,1,0.5,0.5,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,2.0,17
e001063,0,0.25,0.5,0.3333333333333333,0.5,0.5,0.6666666666666666,0.3333333333333333,1.0,7
e006893,1,0.25,0.5,0.6666666666666666,0.8333333333333334,0.5,0.6666666666666666,0.5,1.0,10
e007219,1,0.25,0.1666666666666666,0.8333333333333334,0.6666666666666666,0.5,0.0,0.8333333333333334,2.0,11
e010222,1,0.0,0.3333333333333333,0.1666666666666666,0.5,0.5,0.1666666666666666,0.8333333333333334,0.0,3
f006622,0,0.5,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.0,12
e012346,1,0.0,1.0,1.0,0.1666666666666666,0.6666666666666666,0.0,1.0,0.0,3
e002206,1,0.25,0.3333333333333333,0.5,0.8333333333333334,0.5,0.3333333333333333,0.5,1.0,10
e007216,1,0.25,0.3333333333333333,0.5,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,2.0,11
e001554,1,0.25,0.6666666666666666,0.1666666666666666,0.8333333333333334,0.1666666666666666,1.0,0.3333333333333333,0.0,9
e002508,1,0.0,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.8333333333333334,0.0,3
e006510,0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.1666666666666666,1.0,2.0,2
e011130,1,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,3
e003417,0,0.0,0.6666666666666666,0.0,1.0,1.0,1.0,0.0,1.0,1
e011432,1,0.0,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0,4
